,Title,Year,Genre,Link,Image_name,DIRECTOR,CINEMATOGRAPHER,PRODUCTION DESIGNER,COSTUME DESIGNER,EDITOR,COLORIST,SHOT TIME,TIME PERIOD,COLOR,ASPECT RATIO,FORMAT,FRAME SIZE,SHOT TYPE,LENS SIZE,COMPOSITION,LIGHTING,LIGHTING TYPE,TIME OF DAY,INTERIOR/EXTERIOR,LOCATION TYPE,SET,STORY LOCATION,CAMERA,LENS,FILM STOCK / RESOLUTION,FILMING LOCATION,VFX,ACTORS
10,WINGED MIGRATION,2001,Documentary,https://shotdeck.com/assets/images/stills/thumb/small_921GBSQ2.jpg,small_921GBSQ2, Jacques Perrin," Luc Drion, Bernard Lutic, Dominique Gentil, Thierry Machado, Laurent Fleutot, Olli Barbé, Laurent Charbonnier, Thierry Thomas, Stéphane Martin, Ernst Sasse, Sylvie Carcedo, Michel Benjamin, Fabrice Moindrot, Philippe Garguil, Michel Terrasse", Régis Nicolino,, Marie-Josèphe Yoyotte,,0.0, 2000s, Cool, 1.85 - Super 35,, Medium," 3 shot, Low angle", Long Lens, Center, Hard light," Daylight, Sunny", Day, Exterior, Location,, ... Earth," Aaton 35-III, Eclair XTR",," 5246/7246 Vision 250D, 5245/7289 EXR 50D", ... Earth,,
11,SUMMER OF SAM,1999,"Drama, Crime, Thriller, Romance",https://shotdeck.com/assets/images/stills/thumb/small_HRHAFQZ0.jpg,small_HRHAFQZ0, Spike Lee, Ellen Kuras, Thérèse DePrez, Ruth E. Carter, Barry Alexander Brown,,0.0, 1970s," Warm, Green", 1.85 - Spherical, Film - 35mm, Wide," Insert, Low angle", Wide," Balanced, Center", Hard light," Daylight, Sunny", Day, Exterior, Location, Italian Restaurant, ... New York > New York City,,, 5279/7279 Vision 500T, ... New York > New York City,,
12,THE SECRET LIFE OF WALTER MITTY,2013,"Drama, Adventure, Comedy, Fantasy",https://shotdeck.com/assets/images/stills/thumb/small_M2V2P5Q2.jpg,small_M2V2P5Q2, Ben Stiller, Stuart Dryburgh, Jeff Mann, Sarah Edwards, Greg Hayden, Stefan Sonnenfeld,1.0, 2010s," Cool, Cyan, Blue", 2.39 - Anamorphic, Film - 35mm, Extreme Wide, Aerial, Wide, Right heavy, Soft light, Daylight, Day, Exterior, Location, Mountain, ... Asia > Afghanistan," Panavision Millennium / Millenium XL / XL2, Arriflex 435, Arri 235, Arricam LT, Arricam ST, Arriflex 235"," Panavision Primo Primes, Cooke S4/ i, Angenieux Optimo Zooms, Panavision G series, Hawk V-Plus, Hawk V-Lite, Hawk V-Lite 1.3x, Century S2000 Lenses, Hawk V-Plus Anamorphics"," 5219/7219 Vision 3 500T, 5207/7207 Vision 3 250D, 5203/7203 Vision 3 50D", ... Iceland > Vatnajökull National Park,,
13,FORD V FERRARI,2019,"Drama, Action",https://shotdeck.com/assets/images/stills/thumb/small_44X463KH.jpg,small_44X463KH, James Mangold, Phedon Papamichael, François Audouy, Daniel Orlandi," Michael McCusker, Dirk Westervelt, Andrew Buckland", Skip Kimball,1.0, 1960s," Warm, White", 2.39 - Anamorphic, Digital, Extreme Wide,, Wide, Balanced, Soft light, Daylight, Day, Exterior, Location, Race Track, ... France > Le Mans," ARRI ALEXA LF, ARRI ALEXA Mini"," Panavision C series, Panavision T series",, ... United States of America > California,,
14,RAMBO: FIRST BLOOD PART II,1985,"Action, Adventure, War, Thriller",https://shotdeck.com/assets/images/stills/thumb/small_J5WJ9B4R.jpg,small_J5WJ9B4R, George P. Cosmatos, Jack Cardiff, Bill Kenney, Tom Bronson," Mark Goldblatt, Mark Helfrich, Larry Bock, Gib Jaffe, Frank E. Jimenez",,0.0, 1980s," Warm, Saturated, Yellow", 2.35 - Anamorphic, Film - 35mm, Wide, Aerial, Telephoto, Center," Backlight, Hard light, Hi-contrast, Silhouette"," Daylight, Sunny"," Day, Sunset", Exterior, Location, Helicopter, ... Asia > Vietnam," Panavision Panaflex, Arriflex 35 IIIc", Panavision C series," 5247/7247 Vision 125T, 5294/7294 EXR 400T", ... North America > Mexico,,
15,I AM CUBA,1964,Drama,https://shotdeck.com/assets/images/stills/thumb/small_FNS3RW0K.jpg,small_FNS3RW0K, Mikhail Kalatozov, Sergei Urusevsky, Yevgeni Svidetelev,, Nina Glagoleva,,, 1950s," Desaturated, Black and White", 1.37 - Spherical, Film - 35mm, Wide," Dutch angle, Low angle", Wide,,," Daylight, Sunny", Day, Exterior, Location, Rainforest, ... North America > Cuba,, 9.8mm Kinoptic,, ... North America > Cuba,,
16,THE ICE STORM,1997,Drama,https://shotdeck.com/assets/images/stills/thumb/small_1I7UFD4B.jpg,small_1I7UFD4B, Ang Lee, Frederick Elmes, Mark Friedberg, Carol Oditz, Tim Squyres,,1.0, 1970s," Cool, Desaturated, Cyan", 1.85 - Spherical, Film - 35mm, Extreme Close Up, Insert, Medium, Right heavy, Soft light," Daylight, Overcast", Day, Exterior, Location, Forest/Wood, ... Connecticut > New Canaan, Arriflex, Zeiss Standard Primes," 5279/7279 Vision 500T, 5248/7248 EXR 100T, 5293/7293 EXR 200T", ... United States > Connecticut,,
17,BLACK MIRROR,2016,"Drama, Psychological, Romance, Soft Sci-Fi",https://shotdeck.com/assets/images/stills/thumb/small_RO5Z3CB2.jpg,small_RO5Z3CB2, Owen Harris, Gustav Danielsson, Joel Collins,, Nicolas Chaudeurge,,0.0, 1980s," Mixed, Desaturated", 2.20 - Spherical, Digital, Extreme Wide, Establishing shot, Wide, Balanced, Soft light," Daylight, Sunny", Day, Exterior, Location, Highway > Countryside, ... Earth > San Junipero," Sony F55, RED Epic Dragon",,, ... South Africa > Cape Town,, Mackenzie Davis
18,SPIDER-MAN: NO WAY HOME,2021,"Action, Adventure, Science Fiction",https://shotdeck.com/assets/images/stills/thumb/small_N8B5L1O3.jpg,small_N8B5L1O3, Jon Watts, Mauro Fiore, Darren Gilford, Sanja Milkovic Hays," Jeffrey Ford, Leigh Folsom Boyd", Jill Bogdanowicz,, 2020s," Cool, Desaturated, Green", 2.39 - Spherical, Digital, Medium Close Up, Insert, Medium, Center, Side light, Daylight, Day, Exterior, Location, City > Alleyway, ... New York > New York City," ARRI ALEXA LF, ARRI ALEXA Mini LF", Panavision Panaspeed, ARRIRAW (4.5K), ... United States > New York,,
19,MINDHUNTER,2017,"Crime, Drama",https://shotdeck.com/assets/images/stills/thumb/small_35LGRQSY.jpg,small_35LGRQSY, Tobias Lindholm, Erik Messerschmidt, Steve Arnold, Jennifer Starzyk," Byron Smith, Kirk Baxter", Eric Weidt,, 1970s," Cool, Cyan", 2.20 - Spherical, Digital, Extreme Wide," Establishing shot, High angle", Wide," Balanced, Symmetrical", Low-contrast, Daylight, Day, Exterior, Location, Street, ... Pennsylvania > Altoona," RED Xenomorph Dragon, RED Xenomorph Helium"," Fujinon Premier Lenses, Leitz SUMMILUX-C, Zeiss Ultra Prime"," Redcode RAW 6K, Redcode RAW 8k", ... Pennsylvania > Pittsburgh,,
20,UNDER THE BANNER OF HEAVEN,2022,"Crime, Drama, Mystery",https://shotdeck.com/assets/images/stills/thumb/small_O264D84L.jpg,small_O264D84L, Dustin Lance Black, Craig Wrobleski, Renee Read, Joseph La Corte, Justin Lachance, Roy Vasich,, 1980s, Cool, 2.00 - Spherical, Digital, Extreme Wide, 3 shot, Wide, Right heavy," Hard light, Soft light", Daylight, Day, Exterior, Location, City, ... Utah > Salt Lake City,, Zeiss Supreme Prime Radiance,, ... Canada > Alberta,,
21,COME AND SEE,1985,"Drama, History, War",https://shotdeck.com/assets/images/stills/thumb/small_6SL30L2F.jpg,small_6SL30L2F, Elem Klimov, Alexey Rodionov, Viktor Petrov, Eleonora Semyonova, Valeriya Belova,,, 1940s,, 1.37 - Spherical, Film - 35mm," Close Up, Extreme Close Up"," High angle, Insert", Long Lens, Center, Soft light, Daylight, Day, Exterior, Location, Forest, ... Europe > Belarus,,,, ... Europe > Belarus,,
22,BETTER CALL SAUL,2015,"Addiction, Adventure, CIA, Civil Rights, Comedy, Courtroom Drama, Crime, Detective, Drama, FBI, Finance, Gangster, Hood, Legal, Mafia, Police, Political, Prison, Revenge, Romance",https://shotdeck.com/assets/images/stills/thumb/small_JFNXWD2T.jpg,small_JFNXWD2T, Nicole Kassell, Arthur Albert, Tony Fanning, Jennifer L. Bryan, Skip Macdonald, Ted Brady,,,, 1.78 - Spherical, Digital," Extreme Wide, Wide", Establishing shot, Wide, Left heavy," Low-contrast, Side light, Soft light"," Daylight, Overcast", Day, Exterior, Location, House > Driveway, ... New Mexico > Albuquerque," Panasonic VariCam 35, RED Epic Dragon", Angenieux Optimo," Redcode Raw, Redcode RAW 6K", ... New Mexico > Albuquerque,,
23,WEEKEND,1967,"Adventure, Comedy, Drama",https://shotdeck.com/assets/images/stills/thumb/small_WUPUW30O.jpg,small_WUPUW30O, Jean-Luc Godard, Raoul Coutard,,, Agnès Guillemot,,,,, 1.66 - Spherical, Film - 35mm, Close Up," Insert, Overhead", Long Lens, Center, Hard light, Daylight, Day, Exterior, Location, Field, ... Europe > France,,,, ... Europe > France,,
24,DAWN OF THE PLANET OF THE APES,2014,"Drama, Action, Thriller, Science Fiction",https://shotdeck.com/assets/images/stills/thumb/small_3X16GP9D.jpg,small_3X16GP9D, Matt Reeves, Michael Seresin, James Chinlund, Melissa Bruning," William Hoy, Stan Salfas", Stefan Sonnenfeld,0.0, Future," Cool, Desaturated, Cyan, Blue", 1.85 - Spherical, Digital, Medium Wide,, Medium,, Soft light," Daylight, Overcast", Day, Exterior,, Mountain Top, ... California > Muir Woods,,,,,,
25,THE ENGLISH PATIENT,1996,"Drama, Romance, War",https://shotdeck.com/assets/images/stills/thumb/small_74SZF89S.jpg,small_74SZF89S, Anthony Minghella, John Seale, Stuart Craig," Ann Roth, Gary Jones", Walter Murch,,, 1940s," Warm, Desaturated", 1.85 - Spherical, Film - 35mm, Close Up, Insert, Medium, Center, Soft light," Daylight, Sunny", Day, Exterior, Location, Sahara Desert, ... Africa > Libya,,,,,,
26,BABE,1995,"Comedy, Drama, Family, Fantasy, Puppetry",https://shotdeck.com/assets/images/stills/thumb/small_POF3LUZ4.jpg,small_POF3LUZ4, Chris Noonan, Andrew Lesnie, Roger Ford, Roger Ford," Marcus D'Arcy, Jay Friedkin", Arthur Cambridge,, 1990s," Warm, Saturated, Orange", 1.85 - Spherical, Film - 35mm, Medium Wide, High angle, Medium, Balanced, Soft light," Daylight, Sunny", Day, Exterior, Location, Farm > Sheep Paddock, ... Earth,,,, ... Australia > New South Wales,,
27,WINGED MIGRATION,2001,Documentary,https://shotdeck.com/assets/images/stills/thumb/small_8O903ZN9.jpg,small_8O903ZN9, Jacques Perrin," Luc Drion, Bernard Lutic, Dominique Gentil, Thierry Machado, Laurent Fleutot, Olli Barbé, Laurent Charbonnier, Thierry Thomas, Stéphane Martin, Ernst Sasse, Sylvie Carcedo, Michel Benjamin, Fabrice Moindrot, Philippe Garguil, Michel Terrasse", Régis Nicolino,, Marie-Josèphe Yoyotte,,0.0, 2000s," Cool, Cyan, Blue", 1.85 - Super 35,, Medium Close Up, Group shot, Long Lens,, Hard light," Daylight, Sunny", Day, Exterior, Location,, ... Earth," Aaton 35-III, Eclair XTR",," 5246/7246 Vision 250D, 5245/7289 EXR 50D", ... Earth,,
28,THE LAST BLACK MAN IN SAN FRANCISCO,2019,Drama,https://shotdeck.com/assets/images/stills/thumb/small_0X91SZLW.jpg,small_0X91SZLW, Joe Talbot, Adam Newport-Berra, Jona Tochet," Scott Williams, Amanda Ramirez", David Marks, Damien van der Cruyssen,1.0, 2010s, Warm, 1.66 - Spherical, Digital, Wide, Insert,, Balanced, Soft light, Daylight, Day, Exterior, Location, House > Exterior > Sidewalk, ... California > San Francisco," ARRI ALEXA Mini, Phantom Flex4K"," Zeiss Master Primes, Angenieux Optimo Zooms", 2.8K / 2.8K ArriRaw, ... California > San Francisco,,
29,FEAR AND LOATHING IN LAS VEGAS,1998,"Drama, Adventure, Comedy",https://shotdeck.com/assets/images/stills/thumb/small_HFTR98IM.jpg,small_HFTR98IM, Terry Gilliam, Nicola Pecorini, Alex McDowell, Julie Weiss, Lesley Walker,,1.0, 1970s," Warm, Desaturated"," 2.35 - Spherical, Super 35", Film - 35mm, Wide," Dutch angle, Insert", Medium, Center,," Daylight, Sunny", Day, Exterior, Location, Rest Stop, ... United States of America > Nevada," Arriflex BL4, Arriflex 35 IIa", Zeiss Standard Primes," 5246/7246 Vision 250D, 5279/7279 Vision 500T", ... United States of America > Nevada,,
30,QUEEN OF KATWE,2016,Drama,https://shotdeck.com/assets/images/stills/thumb/small_1I42FTTF.jpg,small_1I42FTTF, Mira Nair, Sean Bobbitt, Stephanie Carroll, Mobolaji Dawodu, Barry Alexander Brown, Tom Poole,1.0, 2010s," Warm, Saturated, Green", 2.39, Digital, Extreme Wide,, Wide, Left heavy," Hard light, Top-light"," Daylight, Sunny", Day, Exterior, Location, Jungle > House, ... Kampala > Katwe, ARRI ALEXA XT / XTplus,,, ... Kampala > Katwe,,
31,FORD V FERRARI,2019,"Drama, Action",https://shotdeck.com/assets/images/stills/thumb/small_V4C1BJSQ.jpg,small_V4C1BJSQ, James Mangold, Phedon Papamichael, François Audouy, Daniel Orlandi," Michael McCusker, Dirk Westervelt, Andrew Buckland", Skip Kimball,1.0, 1960s," Saturated, White", 2.39 - Anamorphic, Digital, Wide, Low angle, Medium, Right heavy, Hard light," Daylight, Sunny", Day, Exterior, Location, Race Track, ... France > Le Mans," ARRI ALEXA LF, ARRI ALEXA Mini"," Panavision C series, Panavision T series",, ... United States of America > California,,
32,COLUMBUS,2017,Drama,https://shotdeck.com/assets/images/stills/thumb/small_IZ4RCOYJ.jpg,small_IZ4RCOYJ, Kogonada, Elisha Christian, Diana Rice, Emily Moran, Kogonada,,1.0, 2010s, Yellow, 1.85 - Spherical, Digital, Wide," Establishing shot, Insert", Wide," Balanced, Symmetrical",, Daylight, Day, Exterior, Location, City Hall, ... Indiana > Columbus,,,, ... Columbus > City Hall,,
33,DUNE,2021,"Adventure, Science Fiction",https://shotdeck.com/assets/images/stills/thumb/small_8YKGEXT5.jpg,small_8YKGEXT5, Denis Villeneuve, Greig Fraser, Patrice Vermette," Jacqueline West, Bob Morgan", Joe Walker, David Cole,1.0, Future," Warm, Saturated, Orange, Yellow", 2.39 - Anamorphic, Digital, Close Up, Insert, Long Lens, Center, Hard light," Daylight, Sunny"," Day, Sunset", Exterior,, Desert, ... Arrakis > The Great Flat," ARRI ALEXA LF, ARRI ALEXA Mini LF"," Panavision H series, Panavision Ultra Vista", ARRIRAW (4.5K),,,
34,THE IRISHMAN,2019,"Crime, Drama, History",https://shotdeck.com/assets/images/stills/thumb/small_86I49BTZ.png,small_86I49BTZ.pn, Martin Scorsese, Rodrigo Prieto, Bob Shaw," Christopher Peterson, Sandy Powell", Thelma Schoonmaker, Yvan Lucas,1.0, 1960s, White," 1.85 - Spherical, Super 35, 3 perf", Film - 35mm, Wide, Establishing shot, Wide, Center, Soft light," Daylight, Overcast", Day, Exterior, Location, Road, ... United States > New Jersey," Arricam LT, Arricam ST, ARRI ALEXA Mini, RED Epic-W Helium"," Zeiss Ultra Prime, Cooke Panchro Classic, Angenieux Optimo Zooms"," 5219/7219 Vision 3 500T, 5207/7207 Vision 3 250D, Redcode RAW 8k, ARRIRAW (4.5K)", ... United States > New York,,
35,"HALE COUNTY THIS MORNING, THIS EVENING",2018,Documentary,https://shotdeck.com/assets/images/stills/thumb/small_MXAYGCT2.jpg,small_MXAYGCT2, RaMell Ross, RaMell Ross,,, RaMell Ross, Dave Francis,0.0, 2010s," Mixed, Saturated, White", 1.78 - Spherical, Digital, Wide, Establishing shot, Wide, Right heavy, Hard light," Daylight, Practical light", Day, Exterior, Location, House > Backyard, ... Alabama > Hale County, Canon 5D,,, ... Alabama > Hale County,,
36,ZACK SNYDER'S JUSTICE LEAGUE,2021,"Action, Adventure, Fantasy, Science Fiction",https://shotdeck.com/assets/images/stills/thumb/small_SOP2EBJ2.jpg,small_SOP2EBJ2, Zack Snyder, Fabian Wagner, Patrick Tatopoulos, Michael Wilkinson, David Brenner, Adam Nazarenko,1.0, 2020s," Yellow, Cyan", 1.33 - Super 35, Film - 35mm, Medium, Insert, Medium, Left heavy, Soft light, Daylight, Day, Exterior,, City Street, ... United States of America > Central City," Arriflex 435, Arriflex 235, Arricam LT, Arricam ST", Leitz SUMMILUX-C," 5219/7219 Vision 3 500T, 5207/7207 Vision 3 250D, 5203/7203 Vision 3 50D",,,
37,CAMERAPERSON,2016,Documentary,https://shotdeck.com/assets/images/stills/thumb/small_4NT5J9IS.jpg,small_4NT5J9IS, Kirsten Johnson, Kirsten Johnson,,, Nels Bangerter,,, 2000s," Warm, Green", 1.78, Digital, Medium, Insert, Medium, Right heavy, Hard light, Daylight, Day, Exterior, Location, Countryside,,,,, ... Bosnia > Foca,,
38,PASSING,2021,Drama,https://shotdeck.com/assets/images/stills/thumb/small_U082QRD4.jpg,small_U082QRD4, Rebecca Hall, Eduard Grau, Nora Mendis, Marci Rodgers, Sabine Hoffman, Roman Hankewycz,, 1920s," Desaturated, Black and White", 1.33 - Anamorphic, Digital, Wide," Insert, Overhead", Wide, Balanced," Low-contrast, Soft light", Daylight, Day, Exterior,, City Street (Exterior) > Sidewalk, ... New York > New York, ARRI ALEXA Mini, Lomo Round Front Lenses, 2.8K / 2.8K ArriRaw, ... New York > New York,,
39,MONOS,2019,"Drama, War",https://shotdeck.com/assets/images/stills/thumb/small_ABKN5MMN.jpg,small_ABKN5MMN, Alejandro Landes, Jasper Wolf, Daniela Schneider," Daniela Schneider, Johanna Buendia"," Santiago Otheguy, Yorgos Mavropsaridis, Ted Guard", Laurens Orij,1.0, 2010s," Cool, Green, White", 2.39, Digital, Extreme Wide, Insert, Medium, Center, Soft light," Daylight, Sunny", Day, Exterior, Location, Jungle, ... South America > Jungle, ARRI ALEXA Mini," Angenieux Optimo, Hawk Vantage One", 3.2K / 3.2K ArriRaw, ... Antioquia > Samana Norte River,,
40,DRIVE MY CAR,2021,Drama,https://shotdeck.com/assets/images/stills/thumb/small_H338ED8H.jpg,small_H338ED8H, Ryusuke Hamaguchi, Hidetoshi Shinomiya, Hyeon-Seon Seo, Haruki Koketsu, Azusa Yamazaki, Yumeto Kitayama,, 2020s,, 1.85 - Spherical, Digital, Wide, Establishing shot, Wide, Symmetrical, Soft light," Daylight, Overcast", Day, Exterior, Location, Temple, ... Japan > Hiroshima, ARRI ALEXA Mini," Angenieux Optimo, Zeiss Ultra Prime"," 2.8K / 2.8K ArriRaw, 2K", ... Hiroshima > Hiroshima City,,
41,THE AVENGERS,2012,"Action, Adventure, Science Fiction",https://shotdeck.com/assets/images/stills/thumb/small_JDB9DN7O.jpg,small_JDB9DN7O, Joss Whedon, Seamus McGarvey, James Chinlund, Alexandra Byrne," Jeffrey Ford, Lisa Lassek",,, Future, White, 1.78 - Spherical, Digital, Extreme Wide," Aerial, Establishing shot, Low angle", Wide, Center, Hard light, Daylight, Day, Exterior, Location, Tower, ... Manhattan > Stark Tower,,,,, Composite,
42,AVATAR,2009,"Action, Adventure, Fantasy, Science Fiction",https://shotdeck.com/assets/images/stills/thumb/small_ULW234EN.jpg,small_ULW234EN, James Cameron, Mauro Fiore," Rick Carter, Robert Stromberg"," John Harding, Mayes C. Rubeo, Deborah Lynn Scott"," James Cameron, John Refoua, Stephen E. Rivkin", Skip Kimball,0.0, Future," Cool, Blue", 1.78, Digital, Extreme Wide,, Wide,, Soft light," Daylight, Overcast", Day, Exterior,, Forest, ... Pandora," IMAX-3D, Sony CineAlta F23, Sony CineAlta HDC-F950",,, ... New Zealand > Wellington,,
43,BULLHEAD,2011,"Crime, Drama",https://shotdeck.com/assets/images/stills/thumb/small_4B6VWXRN.jpg,small_4B6VWXRN, Michaël R. Roskam, Nicolas Karakatsanis, Walter Brugmans, Margriet Procee, Alain Dessauvage, Olivier Ogneux,, 2010s, Warm, 2.35, Film - 35mm, Extreme Wide,, Wide,,," Daylight, Overcast", Day, Exterior, Location, Field, ... Belgium > Sint-Truiden, Aaton Penelope, Zeiss Master Primes, 2K, ... Belgium > Liège,,
44,CADDYSHACK,1980,Comedy,https://shotdeck.com/assets/images/stills/thumb/small_02EBB6VC.jpg,small_02EBB6VC, Harold Ramis, Stevan Larner, Stan Jolley,, William C. Carruth,,0.0, 1980s," Green, White", 1.78, Film - 35mm, Medium," Establishing shot, Insert", Medium, Center, Soft light," Daylight, Overcast", Day, Exterior, Location, Country Club > Swimming Pool, ... United States of America > Bushwood Country Club, Panavision Panaflex,,, ... Plantation > Plantation Country Club,,
45,WINGED MIGRATION,2001,Documentary,https://shotdeck.com/assets/images/stills/thumb/small_FROQX270.jpg,small_FROQX270, Jacques Perrin," Luc Drion, Bernard Lutic, Dominique Gentil, Thierry Machado, Laurent Fleutot, Olli Barbé, Laurent Charbonnier, Thierry Thomas, Stéphane Martin, Ernst Sasse, Sylvie Carcedo, Michel Benjamin, Fabrice Moindrot, Philippe Garguil, Michel Terrasse", Régis Nicolino,, Marie-Josèphe Yoyotte,,0.0, 2000s," Cool, Cyan", 1.85 - Super 35,, Medium,, Long Lens, Center, Hard light," Daylight, Sunny", Day, Exterior, Location,, ... Earth," Aaton 35-III, Eclair XTR",," 5246/7246 Vision 250D, 5245/7289 EXR 50D", ... Earth,,
